Misool Eco Resort,Raja Ampat,Indonesia,Private island resort,https://www.misool.info/,,"Snorkel, dive, wellness"
Treehotel ,Harads,Sweden,Treehotel,https://treehotel.se/en/,,"Nature, northern lights"
Park Hyatt Maldives Hadahaa,Hadahaa,Maldives,"Island resort, overwater bungalows",Ecuador,“Best Sustainable Hotel in Asia Pacific” 2013,"Snorkel, dive, wellness"
ION Luxury Adventure Hotel,Selfoss,Iceland,,https://ioniceland.is/,,
Soneva Kiri,Ko Kut,Thailand,Secluded luxury jungle villas,https://soneva.com/resorts/soneva-kiri/,World’s Leading Eco-Resort and Spa,"cookinng class, snorkeling"
Six Senses Yao Noi ,"Ko Yao Noi, ",Thailand),traditional luxury,https://www.sixsenses.com/en,,"unique collection of rituals, reconnection experiences and wellness"
Lion Sands game reserve,Kruger National Park,South Africa,game reserve,https://www.more.co.za/lionsands/,,wildlife safary
Hoshinoya Karuizawa,"Karuizawa, Nagano",Japan,secluded moutainside ryokan resort,https://www.hoshinoresorts.com/en/resortsandhotels/hoshinoya/karuizawa.html,,"natural hot springs, Spiritual and Physical Healing through Bathing
"
Giraffe Manor,Nairobi,Kenya,exclusive boutique hotel,https://www.thesafaricollection.com/properties/giraffe-manor,,"wildlife, local culture"
Daintree Ecolodge,Queensland,Australia,eco-resort,https://www.daintree-ecolodge.com.au/,,"rainforest, spa, local culture"
Jicaro Island Lodge,Granada,Nicaragua,private island resort,https://www.jicarolodge.com/,member of the exclusive National Geographic Unique Lodges of the World,"island tour, sustainnability tours"
Torres del Paine National Park,Torres del Paine National Park,Chile,eco-friendly contemporary hotel,https://tierrahotels.com/patagonia/,,
Madulkelle Tea and Eco Lodge,Kandy,Srilanka,Eco lodge,http://www.madulkelle.com/,,"hiking, spa, tea plantation"
Post Ranch Inn,Big Sur,United States,,https://www.postranchinn.com/,,
El Monte Sagrado,New Mexico,United States,mountain resort,https://www.elmontesagrado.com/,,
Arenas Del Mar in Manuel Antonio,,Costa Rica,beachfront luxury resort,https://www.arenasdelmar.com/,,
Shinta Mani Wild,Southern Cardamom National Park,Cambodia,glamping,https://wild.bensleycollection.com/,,"arrive via zipline and fill their visits with picnicking, hiking, and helping rangers check wilderness cameras that deter poaching"
Magashi Camp,Akagera National Park,Rwanda,safari lodge,https://www.luxurysafaricamps.com/magashi-camp-rwanda,,"migration safari, gorilla safari"
Bisate Lodge,Kinyarwanda,Rwanda,safari lodge,https://www.luxurysafarilodges.com/bisate-lodge-gorilla-safari,,"migration safari, gorilla safari"
Bawah reserve,Anambas archipelago,Indonesia,overwater bungalows ,https://www.bawahreserve.com/,,outdoor adventurers
Valsana hotel arosa,,Switzerland,mountain resort,https://valsana.ch/en,,"skiing, hiking, and lake swimming."
Isla Palenque,Gulf of Chiriqui,Panama,private island resort,https://www.islapalenque.com/,,"plant a tree, island hoping, foraging, whalewatching, kayaking"
Cannua,Antioquia,Colombia,eco resort,https://cannua.com/,,"birding, permaculture, Visit coffee farms, hike ancient trails, and spot wild parrots."
Ocean house,", British Columbia",Canada, indigenous owned,https://www.haidatourism.ca/ocean-house,,"beaches, rainforests, and protected places."
HOTEL CERRO,San Luis Obispo,United States,wellness and spa,https://www.hotelcerro.com/,,
Three Camel Lodge,,Mongolia,desert teepees,https://www.threecamellodge.com/,,"thrilling events and culture of Mongolia’s nomadic people, landscape"
Borneo Rainforest Lodge,Danum Valley Conservation Area,Malaysia,jungle lodge,http://www.borneonaturetours.com/lodge/,,"jungle tour, wildlife"
Nimmo Bay Wilderness Resort,British Columbia,Canada,Luxury retreat,https://nimmobay.com/,,"onsite waterfall, wellness, floating sauna"
Lapa Rios,Osa Peninsula,Costa Rico,jungle lodge,laparios.com,,tropical lowland rainforest
